Id,Label,mergenode,businesstable
0,HERITAGE_PLACE.E27,HERITAGE_PLACE.E27,
1,SITE_FUNCTION_TYPE.I4,HERITAGE_PLACE.E27,domains
2,SITE_FUNCTION_CERTAINTY.I6,HERITAGE_PLACE.E27,domains
3,SITE_FUNCTION_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_PLACE.E27,strings
4,SITE_FUNCTION_CERTAINTY_AUTHORITY_DOCUMENT.E32,HERITAGE_PLACE.E27,strings
